node1,node2,tstart,tend,line,
Rockaway Park-Beach 116 St,Beach 105 St,41,43,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Beach 98 St,43,45,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 90 St,45,47,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Broad Channel,47,50,Rockaway Park Shuttle to Broad Channel
Rockaway Park-Beach 116 St,Beach 105 St,56,58,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Beach 98 St,58,60,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 90 St,60,62,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Broad Channel,62,65,Rockaway Park Shuttle to Broad Channel
Rockaway Park-Beach 116 St,Beach 105 St,68,70,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Beach 98 St,70,72,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 90 St,72,73,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Broad Channel,73,77,Rockaway Park Shuttle to Broad Channel
Rockaway Park-Beach 116 St,Beach 105 St,81,83,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Beach 98 St,83,85,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 90 St,85,87,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Broad Channel,87,90,Rockaway Park Shuttle to Broad Channel
Rockaway Park-Beach 116 St,Beach 105 St,101,103,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Beach 98 St,103,105,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 90 St,105,107,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Broad Channel,107,110,Rockaway Park Shuttle to Broad Channel
Rockaway Park-Beach 116 St,Beach 105 St,121,123,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Beach 98 St,123,125,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 90 St,125,127,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Broad Channel,127,130,Rockaway Park Shuttle to Broad Channel
Rockaway Park-Beach 116 St,Beach 105 St,141,143,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Beach 98 St,143,145,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 90 St,145,147,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Broad Channel,147,150,Rockaway Park Shuttle to Broad Channel
Rockaway Park-Beach 116 St,Beach 105 St,161,163,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Beach 98 St,163,165,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 90 St,165,167,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Broad Channel,167,170,Rockaway Park Shuttle to Broad Channel
Rockaway Park-Beach 116 St,Beach 105 St,181,183,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Beach 98 St,183,185,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 90 St,185,187,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Broad Channel,187,190,Rockaway Park Shuttle to Broad Channel
Rockaway Park-Beach 116 St,Beach 105 St,201,203,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Beach 98 St,203,205,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 90 St,205,207,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Broad Channel,207,210,Rockaway Park Shuttle to Broad Channel
Rockaway Park-Beach 116 St,Beach 105 St,221,223,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Beach 98 St,223,225,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 90 St,225,227,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Broad Channel,227,230,Rockaway Park Shuttle to Broad Channel
Rockaway Park-Beach 116 St,Beach 105 St,241,243,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Beach 98 St,243,245,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 90 St,245,247,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Broad Channel,247,250,Rockaway Park Shuttle to Broad Channel
Rockaway Park-Beach 116 St,Beach 105 St,261,263,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Beach 98 St,263,265,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 90 St,265,267,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Broad Channel,267,270,Rockaway Park Shuttle to Broad Channel
Rockaway Park-Beach 116 St,Beach 105 St,281,283,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Beach 98 St,283,285,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 90 St,285,287,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Broad Channel,287,290,Rockaway Park Shuttle to Broad Channel
Rockaway Park-Beach 116 St,Beach 105 St,301,303,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Beach 98 St,303,305,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 90 St,305,307,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Broad Channel,307,310,Rockaway Park Shuttle to Broad Channel
Rockaway Park-Beach 116 St,Beach 105 St,321,323,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Beach 98 St,323,325,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 90 St,325,327,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Broad Channel,327,330,Rockaway Park Shuttle to Broad Channel
Rockaway Park-Beach 116 St,Beach 105 St,340,342,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Beach 98 St,342,344,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 90 St,344,346,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Broad Channel,346,349,Rockaway Park Shuttle to Broad Channel
Rockaway Park-Beach 116 St,Beach 105 St,355,357,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Beach 98 St,357,359,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 90 St,359,361,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Broad Channel,361,364,Rockaway Park Shuttle to Broad Channel
Rockaway Park-Beach 116 St,Beach 105 St,368,370,Rockaway Park Shuttle to Beach 105 St
Beach 105 St,Beach 98 St,370,372,Rockaway Park Shuttle to Beach 98 St
Beach 98 St,Beach 90 St,372,373,Rockaway Park Shuttle to Beach 90 St
Beach 90 St,Broad Channel,373,377,Rockaway Park Shuttle to Broad Channel
Rockaway Park-Beach 116 St,Beach 105 St,388,390,Rockaway Park Shuttle to Beach 105 St
