node1,node2,tstart,tend,line,
Franklin Av,Park Pl,0,2,Franklin Avenue Shuttle to Park Pl
Park Pl,Botanic Garden,2,3,Franklin Avenue Shuttle to Botanic Garden
Botanic Garden,Prospect Park,3,6,Franklin Avenue Shuttle to Prospect Park
Franklin Av,Park Pl,20,22,Franklin Avenue Shuttle to Park Pl
Park Pl,Botanic Garden,22,23,Franklin Avenue Shuttle to Botanic Garden
Botanic Garden,Prospect Park,23,26,Franklin Avenue Shuttle to Prospect Park
Franklin Av,Park Pl,40,42,Franklin Avenue Shuttle to Park Pl
Park Pl,Botanic Garden,42,43,Franklin Avenue Shuttle to Botanic Garden
Botanic Garden,Prospect Park,43,46,Franklin Avenue Shuttle to Prospect Park
Franklin Av,Park Pl,60,62,Franklin Avenue Shuttle to Park Pl
Park Pl,Botanic Garden,62,63,Franklin Avenue Shuttle to Botanic Garden
Botanic Garden,Prospect Park,63,66,Franklin Avenue Shuttle to Prospect Park
Franklin Av,Park Pl,80,82,Franklin Avenue Shuttle to Park Pl
Park Pl,Botanic Garden,82,83,Franklin Avenue Shuttle to Botanic Garden
Botanic Garden,Prospect Park,83,86,Franklin Avenue Shuttle to Prospect Park
Franklin Av,Park Pl,100,102,Franklin Avenue Shuttle to Park Pl
Park Pl,Botanic Garden,102,103,Franklin Avenue Shuttle to Botanic Garden
Botanic Garden,Prospect Park,103,106,Franklin Avenue Shuttle to Prospect Park
Franklin Av,Park Pl,120,122,Franklin Avenue Shuttle to Park Pl
Park Pl,Botanic Garden,122,123,Franklin Avenue Shuttle to Botanic Garden
Botanic Garden,Prospect Park,123,126,Franklin Avenue Shuttle to Prospect Park
Franklin Av,Park Pl,140,142,Franklin Avenue Shuttle to Park Pl
Park Pl,Botanic Garden,142,143,Franklin Avenue Shuttle to Botanic Garden
Botanic Garden,Prospect Park,143,146,Franklin Avenue Shuttle to Prospect Park
Franklin Av,Park Pl,160,162,Franklin Avenue Shuttle to Park Pl
Park Pl,Botanic Garden,162,163,Franklin Avenue Shuttle to Botanic Garden
Botanic Garden,Prospect Park,163,166,Franklin Avenue Shuttle to Prospect Park
Franklin Av,Park Pl,180,182,Franklin Avenue Shuttle to Park Pl
Park Pl,Botanic Garden,182,183,Franklin Avenue Shuttle to Botanic Garden
Botanic Garden,Prospect Park,183,186,Franklin Avenue Shuttle to Prospect Park
